SampleID	observed_otus	Species	Species_num	Necrophagy	Necro_num	Collection	Collection_num	Location	Location_num	Species_plot	Coll_Patrol
146	28	angustula	1	Absent	1	Flower	2	LasCrucesDining	13	Te. angustula (n=11)	flower
160	24	angustula	1	Absent	1	Flower	2	LasCrucesDining	13	Te. angustula (n=11)	flower
164	20	angustula	1	Absent	1	Flower	2	LasCrucesDining	13	Te. angustula (n=11)	flower
174	26	angustula	1	Absent	1	Flower	2	LasCrucesDining	13	Te. angustula (n=11)	flower
175	24	angustula	1	Absent	1	Flower	2	LasCrucesDining	13	Te. angustula (n=11)	flower
131	19	angustula	1	Absent	1	Patrolling	1	LaSelvaLab	15	Te. angustula (n=11)	other
134	21	angustula	1	Absent	1	Patrolling	1	LaSelvaLab	15	Te. angustula (n=11)	other
135	15	angustula	1	Absent	1	Patrolling	1	LaSelvaLab	15	Te. angustula (n=11)	other
136	20	angustula	1	Absent	1	Patrolling	1	LaSelvaLab	15	Te. angustula (n=11)	other
137	30	angustula	1	Absent	1	Patrolling	1	LaSelvaLab	15	Te. angustula (n=11)	other
138	20	angustula	1	Absent	1	Patrolling	1	LaSelvaLab	15	Te. angustula (n=11)	other
152	19	buchwaldi	2	Absent	1	Flower	2	LasCrucesDining	13	Te. buchwaldi (n=6)	flower
153	14	buchwaldi	2	Absent	1	Flower	2	LasCrucesDining	13	Te. buchwaldi (n=6)	flower
154	15	buchwaldi	2	Absent	1	Flower	2	LasCrucesDining	13	Te. buchwaldi (n=6)	flower
155	30	buchwaldi	2	Absent	1	Flower	2	LasCrucesDining	13	Te. buchwaldi (n=6)	flower
158	21	buchwaldi	2	Absent	1	Flower	2	LasCrucesDining	13	Te. buchwaldi (n=6)	flower
166	14	buchwaldi	2	Absent	1	Flower	2	LasCrucesDining	13	Te. buchwaldi (n=6)	flower
151	16	corvina	4	Facultative	2	Flower	2	LasCrucesDining	13	T. corvina (n=7)	flower
163	25	corvina	4	Facultative	2	Flower	2	LasCrucesDining	13	T. corvina (n=7)	flower
169	24	corvina	4	Facultative	2	Flower	2	LasCrucesDining	13	T. corvina (n=7)	flower
189	47	corvina	4	Facultative	2	Flower	2	LaSelvaDining	14	T. corvina (n=7)	flower
190	50	corvina	4	Facultative	2	Flower	2	LaSelvaDining	14	T. corvina (n=7)	flower
191	65	corvina	4	Facultative	2	Flower	2	LaSelvaDining	14	T. corvina (n=7)	flower
192	34	corvina	4	Facultative	2	Flower	2	LaSelvaDining	14	T. corvina (n=7)	flower
18	42	ferricauda	5	Facultative	2	Chicken	3	Bait1	1	T. ferricauda (n=17)	chicken
53	69	ferricauda	5	Facultative	2	Chicken	3	Bait1	1	T. ferricauda (n=17)	chicken
54	39	ferricauda	5	Facultative	2	Chicken	3	Bait1	1	T. ferricauda (n=17)	chicken
55	43	ferricauda	5	Facultative	2	Chicken	3	Bait1	1	T. ferricauda (n=17)	chicken
57	47	ferricauda	5	Facultative	2	Chicken	3	Bait1	1	T. ferricauda (n=17)	chicken
116	58	ferricauda	5	Facultative	2	Chicken	3	Bait12	3	T. ferricauda (n=17)	chicken
117	51	ferricauda	5	Facultative	2	Chicken	3	Bait12	3	T. ferricauda (n=17)	chicken
120	49	ferricauda	5	Facultative	2	Chicken	3	Bait12	3	T. ferricauda (n=17)	chicken
94	54	ferricauda	5	Facultative	2	Chicken	3	Bait7	8	T. ferricauda (n=17)	chicken
95	84	ferricauda	5	Facultative	2	Chicken	3	Bait7	8	T. ferricauda (n=17)	chicken
96	69	ferricauda	5	Facultative	2	Chicken	3	Bait8	9	T. ferricauda (n=17)	chicken
97	84	ferricauda	5	Facultative	2	Chicken	3	Bait8	9	T. ferricauda (n=17)	chicken
98	78	ferricauda	5	Facultative	2	Chicken	3	Bait8	9	T. ferricauda (n=17)	chicken
100	73	ferricauda	5	Facultative	2	Chicken	3	Bait8	9	T. ferricauda (n=17)	chicken
1	39	ferricauda	5	Facultative	2	Flower	2	Flower1	11	T. ferricauda (n=17)	flower
3	52	ferricauda	5	Facultative	2	Flower	2	Flower1	11	T. ferricauda (n=17)	flower
64	73	ferricauda	5	Facultative	2	Flower	2	LaSelvaLab	15	T. ferricauda (n=17)	flower
88	66	flavoscutellata	3	Absent	1	Patrolling	1	Bait6	7	Pl. flavoscutellata (n=17)	chicken
89	42	flavoscutellata	3	Absent	1	Patrolling	1	Bait6	7	Pl. flavoscutellata (n=17)	chicken
147	21	flavoscutellata	3	Absent	1	Flower	2	LasCrucesDining	13	Pl. flavoscutellata (n=17)	flower
148	22	flavoscutellata	3	Absent	1	Flower	2	LasCrucesDining	13	Pl. flavoscutellata (n=17)	flower
156	36	flavoscutellata	3	Absent	1	Flower	2	LasCrucesDining	13	Pl. flavoscutellata (n=17)	flower
159	47	flavoscutellata	3	Absent	1	Flower	2	LasCrucesDining	13	Pl. flavoscutellata (n=17)	flower
162	23	flavoscutellata	3	Absent	1	Flower	2	LasCrucesDining	13	Pl. flavoscutellata (n=17)	flower
167	35	flavoscutellata	3	Absent	1	Flower	2	LasCrucesDining	13	Pl. flavoscutellata (n=17)	flower
179	28	flavoscutellata	3	Absent	1	Patrolling	1	LasCrucesDining	13	Pl. flavoscutellata (n=17)	flower
196	42	flavoscutellata	3	Absent	1	Patrolling	1	LCbait10	16	Pl. flavoscutellata (n=17)	other
183	49	flavoscutellata	3	Absent	1	Patrolling	1	LCbait13	18	Pl. flavoscutellata (n=17)	chicken
184	63	flavoscutellata	3	Absent	1	Patrolling	1	LCbait13	18	Pl. flavoscutellata (n=17)	chicken
